query	subject	evalue	coverage	pratio	score	qLen	sLen	qCoverage	sCoverage	defLine
Gorai.003G055700.1	AT1G65020.1	1e-154	0.960998439937597	1.00940438871473	431	322	319	0.96583850931677	0.96551724137931	
Gorai.002G106500.1	AT5G23960.1	1e-155	0.989051094890511	1.0036563071298	445	549	547	0.987249544626594	0.994515539305302	terpene synthase 21
Gorai.011G187000.1	AT3G06400.3	0.0	0.958904109589041	1.00283822138127	1824	1060	1057	0.957547169811321	0.961210974456008	chromatin-remodeling protein 11
Gorai.004G280500.1	AT4G29010.1	0.0	0.98961937716263	1.00416088765603	1121	724	721	0.987569060773481	0.991678224687933	Enoyl-CoA hydratase/isomerase family
Gorai.013G176000.1	AT1G53520.1	1e-107	0.888495575221239	0.968641114982578	308	278	287	0.902877697841727	0.888501742160279	Chalcone-flavanone isomerase family protein
Gorai.009G120500.1	AT1G78980.1	0.0	0.992193044712562	1.01573676680973	769	710	699	0.994366197183099	1	STRUBBELIG-receptor family 5
Gorai.011G156100.1	AT5G49210.1	2e-67	0.84375	0.969230769230769	201	189	195	0.857142857142857	0.830769230769231	
Gorai.001G216200.1	AT2G32640.1	0.0	0.990670059372349	1.01538461538462	840	594	585	0.98989898989899	0.998290598290598	Lycopene beta/epsilon cyclase protein
Gorai.010G108200.1	AT5G11560.1	0.0	0.969269521410579	1.0213849287169	1470	1003	982	0.96011964107677	0.979633401221996	catalytics
Gorai.004G085600.1	AT2G47930.1	1e-11	0.705394190871369	0.772058823529412	55.6	105	136	0.80952380952381	0.669117647058823	arabinogalactan protein 26
Gorai.010G039500.1	AT4G08960.1	0.0	0.998722860791826	0.997448979591837	610	391	392	1	0.997448979591837	phosphotyrosyl phosphatase activator (PTPA) family protein
Gorai.007G309000.1	AT1G09460.1	5e-50	0.371014492753623	1.09090909090909	165	360	330	0.361111111111111	0.387878787878788	Carbohydrate-binding X8 domain superfamily protein
Gorai.010G248200.1	AT5G47740.2	5e-60	0.835249042145594	1.1219512195122	186	276	246	0.83695652173913	0.886178861788618	Adenine nucleotide alpha hydrolases-like superfamily protein
Gorai.011G108100.1	AT3G49910.1	6e-95	1	1	269	146	146	1	1	Translation protein SH3-like family protein
Gorai.003G094000.1	AT3G47940.1	1e-162	0.994318181818182	1.01142857142857	453	354	350	1	1	DNAJ heat shock family protein
Gorai.006G187400.1	AT5G62920.1	3e-74	0.784810126582278	1.12365591397849	219	209	186	0.751196172248804	0.833333333333333	response regulator 6
Gorai.010G186500.1	AT3G51970.1	1e-113	0.956647398843931	1.00579710144928	328	347	345	0.953890489913545	0.973913043478261	acyl-CoA sterol acyl transferase 1
Gorai.012G171400.1	AT1G60220.1	1e-132	0.836395450568679	0.957191780821918	389	559	584	0.855098389982111	0.88527397260274	UB-like protease 1D
Gorai.010G044700.1	AT1G22120.1	6e-07	0.117804551539491	0.616883116883117	49.1	285	462	0.157894736842105	0.0952380952380952	
Gorai.007G284000.1	AT3G04820.1	0.0	0.939792387543253	1.02097902097902	958	730	715	0.938356164383562	0.94965034965035	Pseudouridine synthase family protein
Gorai.002G114100.1	AT5G24360.2	0.0	0.946297343131713	0.994363021420519	757	882	887	0.952380952380952	0.943630214205186	inositol requiring 1-1
Gorai.009G128500.1	AT3G15810.1	1e-104	0.948356807511737	0.936363636363636	297	206	220	0.980582524271845	0.918181818181818	Protein of unknown function (DUF567)
