PACid	species	locusName	transcriptName	proteinName	PFAM	PFAM_DEF	PANTHER	PANTHER_DEF	KOG	KOG_DEF	EC	EC_DEF	KEGG	KEGG_DEF	GO	GO_DEF	PATHWAY	PATHWAY_DEF	alias	defLine
PAC:26805767	G. raimondii	Gorai.005G191100	Gorai.005G191100.1	Gorai.005G191100.1	PF16837	PF16837 - Pre-mRNA-splicing factor SF3A3, of SF3a complex, Prp9					2.3.1.48	2.3.1.48 - Histone acetyltransferase								(1 of 3) PF16837 - Pre-mRNA-splicing factor SF3A3, of SF3a complex, Prp9 (SF3A3)
PAC:26794789	G. raimondii	Gorai.002G243000	Gorai.002G243000.1	Gorai.002G243000.1			PTHR31802:SF5; PTHR31802	PTHR31802:SF5 - HISTONE DEACETYLASE HDT2-RELATED; PTHR31802 - FAMILY NOT NAMED			3.5.1.98	3.5.1.98 - Histone deacetylase								(1 of 5) PTHR31802:SF5 - HISTONE DEACETYLASE HDT2-RELATED
PAC:26778056	G. raimondii	Gorai.007G196300	Gorai.007G196300.1	Gorai.007G196300.1	PF00538	PF00538 - linker histone H1 and H5 family	PTHR11467; PTHR11467:SF50	PTHR11467 - HISTONE H1/H5; PTHR11467:SF50 - HISTONE H1					K11275	K11275 - ""	GO:0003677; GO:0005634; GO:0000786; GO:0006334	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0006334 - The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA.; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 2) PTHR11467:SF50 - HISTONE H1
PAC:26780388	G. raimondii	Gorai.007G308600	Gorai.007G308600.1	Gorai.007G308600.1	PF00557; PF14826; PF08512; PF08644	PF00557 - Metallopeptidase family M24; PF08644 - FACT complex subunit (SPT16/CDC68); PF14826 - FACT complex subunit SPT16 N-terminal lobe domain; PF08512 - Histone chaperone Rttp106-like	PTHR13980	PTHR13980 - CDC68 RELATED												(1 of 3) PTHR13980 - CDC68 RELATED
PAC:26816413	G. raimondii	Gorai.008G060800	Gorai.008G060800.1	Gorai.008G060800.1	PF08295; PF02671; PF16879	PF02671 - Paired amphipathic helix repeat; PF16879 - C-terminal domain of Sin3a protein; PF08295 - Sin3 family co-repressor	PTHR12346:SF8; PTHR12346	PTHR12346 - SIN3B-RELATED; PTHR12346:SF8 - PAIRED AMPHIPATHIC HELIX PROTEIN SIN3-LIKE 1-RELATED	KOG4204	KOG4204 - Histone deacetylase complex, SIN3 component			K11644	K11644 - paired amphipathic helix protein Sin3a	GO:0006355	GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.				(1 of 5) K11644 - paired amphipathic helix protein Sin3a (SIN3A)
PAC:26834087	G. raimondii	Gorai.006G104600	Gorai.006G104600.1	Gorai.006G104600.1	PF00125	PF00125 - Core histone H2A/H2B/H3/H4	PTHR23428	PTHR23428 - HISTONE H2B	KOG1744	KOG1744 - Histone H2B			K11252	K11252 - histone H2B	GO:0003677; GO:0046982; GO:0000786	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 14) K11252 - histone H2B (H2B)
PAC:26815562	G. raimondii	Gorai.008G167300	Gorai.008G167300.1	Gorai.008G167300.1	PF00538; PF02178	PF00538 - linker histone H1 and H5 family; PF02178 - AT hook motif	PTHR11467:SF29; PTHR11467	PTHR11467:SF29 - SUBFAMILY NOT NAMED; PTHR11467 - HISTONE H1/H5							GO:0003677; GO:0005634; GO:0006355; GO:0000786; GO:0000785; GO:0006334	GO:0000785 - The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0006334 - The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA.; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 2) PTHR11467//PTHR11467:SF29 - HISTONE H1/H5 // SUBFAMILY NOT NAMED
PAC:26770450	G. raimondii	Gorai.009G301500	Gorai.009G301500.1	Gorai.009G301500.1	PF02182; PF00856; PF05033	PF05033 - Pre-SET motif; PF02182 - SAD/SRA domain; PF00856 - SET domain	PTHR22884:SF383; PTHR22884	PTHR22884 - SET DOMAIN PROTEINS; PTHR22884:SF383 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC SUVH1-RELATED	KOG1082	KOG1082 - Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing	2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase	K11420	K11420 - euchromatic histone-lysine N-methyltransferase	GO:0005634; GO:0008270; GO:0005515; GO:0034968; GO:0042393; GO:0018024; GO:0016571	GO:0018024 - Catalysis of the reaction: S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine. The methylation of peptidyl-lysine in histones forms N6-methyl-L-lysine, N6,N6-dimethyl-L-lysine and N6,N6,N6-trimethyl-L-lysine derivatives.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0034968 - The modification of a histone by addition of one or more methyl groups to a lysine residue.; GO:0016571 - The modification of histones by addition of methyl groups.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0042393 - Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.				(1 of 3) PTHR22884:SF383 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC SUVH1-RELATED
PAC:26758682	G. raimondii	Gorai.010G128800	Gorai.010G128800.1	Gorai.010G128800.1	PF08007; PF13621	PF08007 - Cupin superfamily protein; PF13621 - Cupin-like domain	PTHR12461:SF38; PTHR12461	PTHR12461 - HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED; PTHR12461:SF38 - LYSINE-SPECIFIC DEMETHYLASE 8	KOG2132	KOG2132 - Uncharacterized conserved protein, contains JmjC domain	1.14.11.27	1.14.11.27 - [Histone H3]-lysine-36 demethylase	K10277	K10277 - ""						(1 of 1) PTHR12461:SF38 - LYSINE-SPECIFIC DEMETHYLASE 8
PAC:26772751	G. raimondii	Gorai.004G079000	Gorai.004G079000.1	Gorai.004G079000.1	PF16135	PF16135 - TPL-binding domain in jasmonate signalling	PTHR24098; PTHR24098:SF9	PTHR24098:SF9 - ACYL-COA N-ACYLTRANSFERASE DOMAIN-CONTAINING PROTEIN-RELATED; PTHR24098 - FAMILY NOT NAMED			2.3.1.48	2.3.1.48 - Histone acetyltransferase			GO:0008270; GO:0005515; GO:0008080	GO:0008080 - Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 5) PTHR24098:SF9 - ACYL-COA N-ACYLTRANSFERASE DOMAIN-CONTAINING PROTEIN-RELATED
